Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,2913,4095,0,17,1.05
3,2913,2638,275,17,1.05
4,2913,2638,275,17,1.05
5,2270,2180,90,17,1.05
6,2270,2180,90,17,1.05
7,1978,2180,0,17,1.05
8,1978,1915,63,17,1.05
9,2517,1915,602,17,1.05
10,2517,3226,0,17,1.05
11,2517,3226,0,17,1.05
12,3860,3172,688,17,1.05
13,3860,3172,688,17,1.05
14,3499,3172,327,17,1.05
15,3499,2344,1155,17,1.05
16,3499,2344,1155,17,1.05
17,3999,2018,1981,17,1.05
18,3999,2018,1981,17,1.05
19,3996,2018,1978,17,1.05
20,3996,1811,2185,17,1.05
21,4095,1811,2284,17,1.05
22,4095,1648,2447,17,1.05
23,4095,1648,2447,17,1.05
24,4063,1507,2556,17,1.05
25,4063,1507,2556,17,1.05
26,4095,1507,2588,17,1.05
27,4095,1382,2713,17,1.05
28,3675,1382,2293,17,1.05
29,3675,1273,2402,17,1.05
30,3675,1273,2402,17,1.05
31,4013,1180,2833,17,1.05
32,4013,1180,2833,17,1.05
33,4095,1180,2915,17,1.05
34,4095,1087,3008,17,1.05
35,4095,1087,3008,17,1.05
36,3836,1007,2829,17,1.05
37,3836,1007,2829,17,1.05
38,2800,1007,1793,17,1.05
39,2800,927,1873,17,1.05
40,3659,927,2732,17,1.05
41,3659,860,2799,17,1.05
42,3659,860,2799,17,1.05
43,2776,796,1980,17,1.05
44,2776,796,1980,17,1.05
45,3160,796,2364,17,1.05
46,3160,737,2423,17,1.05
47,3052,737,2315,17,1.05
48,3052,685,2367,17,1.05
49,3052,685,2367,17,1.05
