Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,4095,4095,0,17,1.05
3,2650,2638,12,17,1.05
4,2650,2638,12,17,1.05
5,2178,2180,0,17,1.05
6,2178,2180,0,17,1.05
7,2178,2180,0,17,1.05
8,1919,1915,4,17,1.05
9,1919,1915,4,17,1.05
10,3650,3226,424,17,1.05
11,3650,3226,424,17,1.05
12,3203,3172,31,17,1.05
13,3203,3172,31,17,1.05
14,3203,3172,31,17,1.05
15,2458,2344,114,17,1.05
16,2458,2344,114,17,1.05
17,4095,2018,2077,17,1.05
18,4095,2018,2077,17,1.05
19,4095,2018,2077,17,1.05
20,4095,1811,2284,17,1.05
21,4095,1811,2284,17,1.05
22,4095,1648,2447,17,1.05
23,4095,1648,2447,17,1.05
24,4019,1507,2512,17,1.05
25,4019,1507,2512,17,1.05
26,4019,1507,2512,17,1.05
27,3435,1382,2053,17,1.05
28,3435,1382,2053,17,1.05
29,3665,1273,2392,17,1.05
30,3665,1273,2392,17,1.05
31,3906,1180,2726,17,1.05
32,3906,1180,2726,17,1.05
33,3906,1180,2726,17,1.05
34,3732,1087,2645,17,1.05
35,3732,1087,2645,17,1.05
36,4095,1007,3088,17,1.05
37,4095,1007,3088,17,1.05
38,4095,1007,3088,17,1.05
39,2565,927,1638,17,1.05
40,2565,927,1638,17,1.05
41,3390,860,2530,17,1.05
42,3390,860,2530,17,1.05
43,2518,796,1722,17,1.05
44,2518,796,1722,17,1.05
45,2518,796,1722,17,1.05
46,3128,737,2391,17,1.05
47,3128,737,2391,17,1.05
48,2886,685,2201,17,1.05
49,2886,685,2201,17,1.05
