Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,4095,4095,0,17,1.05
3,2733,2638,95,17,1.05
4,2733,2638,95,17,1.05
5,2202,2180,22,17,1.05
6,2202,2180,22,17,1.05
7,1940,2180,0,17,1.05
8,1940,1915,25,17,1.05
9,1940,1915,25,17,1.05
10,2264,3226,0,17,1.05
11,2264,3226,0,17,1.05
12,3148,3172,0,17,1.05
13,3148,3172,0,17,1.05
14,3148,3172,0,17,1.05
15,3330,2344,986,17,1.05
16,3330,2344,986,17,1.05
17,4095,2018,2077,17,1.05
18,4095,2018,2077,17,1.05
19,4095,2018,2077,17,1.05
20,4095,1811,2284,17,1.05
21,4095,1811,2284,17,1.05
22,4095,1648,2447,17,1.05
23,4095,1648,2447,17,1.05
24,4095,1507,2588,17,1.05
25,4095,1507,2588,17,1.05
26,3664,1507,2157,17,1.05
27,3664,1382,2282,17,1.05
28,3664,1382,2282,17,1.05
29,4022,1273,2749,17,1.05
30,4022,1273,2749,17,1.05
31,3983,1180,2803,17,1.05
32,3983,1180,2803,17,1.05
33,3983,1180,2803,17,1.05
34,4007,1087,2920,17,1.05
35,4007,1087,2920,17,1.05
36,3345,1007,2338,17,1.05
37,3345,1007,2338,17,1.05
38,2635,1007,1628,17,1.05
39,2635,927,1708,17,1.05
40,2635,927,1708,17,1.05
41,3201,860,2341,17,1.05
42,3201,860,2341,17,1.05
43,2596,796,1800,17,1.05
44,2596,796,1800,17,1.05
45,2841,796,2045,17,1.05
46,2841,737,2104,17,1.05
47,2841,737,2104,17,1.05
48,2648,685,1963,17,1.05
49,2648,685,1963,17,1.05
