Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,2818,4095,0,17,1.05
3,2818,2638,180,17,1.05
4,2818,2638,180,17,1.05
5,2239,2180,59,17,1.05
6,2239,2180,59,17,1.05
7,1958,2180,0,17,1.05
8,1958,1915,43,17,1.05
9,1958,1915,43,17,1.05
10,1888,3226,0,17,1.05
11,1888,3226,0,17,1.05
12,3642,3172,470,17,1.05
13,3642,3172,470,17,1.05
14,3051,3172,0,17,1.05
15,3051,2344,707,17,1.05
16,3051,2344,707,17,1.05
17,4095,2018,2077,17,1.05
18,4095,2018,2077,17,1.05
19,3905,2018,1887,17,1.05
20,3905,1811,2094,17,1.05
21,4095,1811,2284,17,1.05
22,4095,1648,2447,17,1.05
23,4095,1648,2447,17,1.05
24,4095,1507,2588,17,1.05
25,4095,1507,2588,17,1.05
26,3976,1507,2469,17,1.05
27,3976,1382,2594,17,1.05
28,3976,1382,2594,17,1.05
29,4095,1273,2822,17,1.05
30,4095,1273,2822,17,1.05
31,3777,1180,2597,17,1.05
32,3777,1180,2597,17,1.05
33,4095,1180,2915,17,1.05
34,4095,1087,3008,17,1.05
35,4095,1087,3008,17,1.05
36,3577,1007,2570,17,1.05
37,3577,1007,2570,17,1.05
38,2735,1007,1728,17,1.05
39,2735,927,1808,17,1.05
40,2735,927,1808,17,1.05
41,3495,860,2635,17,1.05
42,3495,860,2635,17,1.05
43,2675,796,1879,17,1.05
44,2675,796,1879,17,1.05
45,3051,796,2255,17,1.05
46,3051,737,2314,17,1.05
47,3051,737,2314,17,1.05
48,3335,685,2650,17,1.05
49,3335,685,2650,17,1.05
