Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,4095,4095,0,17,1.05
3,2745,2638,107,17,1.05
4,2745,2638,107,17,1.05
5,2214,2180,34,17,1.05
6,2214,2180,34,17,1.05
7,1941,2180,0,17,1.05
8,1941,1915,26,17,1.05
9,1941,1915,26,17,1.05
10,3302,3226,76,17,1.05
11,3302,3226,76,17,1.05
12,3184,3172,12,17,1.05
13,3184,3172,12,17,1.05
14,3184,3172,12,17,1.05
15,2843,2344,499,17,1.05
16,2843,2344,499,17,1.05
17,4095,2018,2077,17,1.05
18,4095,2018,2077,17,1.05
19,4095,2018,2077,17,1.05
20,4095,1811,2284,17,1.05
21,4095,1811,2284,17,1.05
22,4095,1648,2447,17,1.05
23,4095,1648,2447,17,1.05
24,4095,1507,2588,17,1.05
25,4095,1507,2588,17,1.05
26,3677,1507,2170,17,1.05
27,3677,1382,2295,17,1.05
28,3677,1382,2295,17,1.05
29,3983,1273,2710,17,1.05
30,3983,1273,2710,17,1.05
31,3763,1180,2583,17,1.05
32,3763,1180,2583,17,1.05
33,3763,1180,2583,17,1.05
34,4077,1087,2990,17,1.05
35,4077,1087,2990,17,1.05
36,3351,1007,2344,17,1.05
37,3351,1007,2344,17,1.05
38,2649,1007,1642,17,1.05
39,2649,927,1722,17,1.05
40,2649,927,1722,17,1.05
41,3267,860,2407,17,1.05
42,3267,860,2407,17,1.05
43,2534,796,1738,17,1.05
44,2534,796,1738,17,1.05
45,3009,796,2213,17,1.05
46,3009,737,2272,17,1.05
47,3009,737,2272,17,1.05
48,3147,685,2462,17,1.05
49,3147,685,2462,17,1.05
