Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,4095,4095,0,17,1.05
3,2738,2638,100,17,1.05
4,2738,2638,100,17,1.05
5,2207,2180,27,17,1.05
6,2207,2180,27,17,1.05
7,1938,2180,0,17,1.05
8,1938,1915,23,17,1.05
9,1938,1915,23,17,1.05
10,2384,3226,0,17,1.05
11,2384,3226,0,17,1.05
12,3584,3172,412,17,1.05
13,3584,3172,412,17,1.05
14,3584,3172,412,17,1.05
15,2417,2344,73,17,1.05
16,2417,2344,73,17,1.05
17,3517,2018,1499,17,1.05
18,3517,2018,1499,17,1.05
19,4095,2018,2077,17,1.05
20,4095,1811,2284,17,1.05
21,4095,1811,2284,17,1.05
22,3480,1648,1832,17,1.05
23,3480,1648,1832,17,1.05
24,2810,1507,1303,17,1.05
25,2810,1507,1303,17,1.05
26,2778,1507,1271,17,1.05
27,2778,1382,1396,17,1.05
28,2778,1382,1396,17,1.05
29,2228,1273,955,17,1.05
30,2228,1273,955,17,1.05
31,3969,1180,2789,17,1.05
32,3969,1180,2789,17,1.05
33,3969,1180,2789,17,1.05
34,3158,1087,2071,17,1.05
35,3158,1087,2071,17,1.05
36,2697,1007,1690,17,1.05
37,2697,1007,1690,17,1.05
38,2196,1007,1189,17,1.05
39,2196,927,1269,17,1.05
40,2196,927,1269,17,1.05
41,3284,860,2424,17,1.05
42,3284,860,2424,17,1.05
43,2362,796,1566,17,1.05
44,2362,796,1566,17,1.05
45,2029,796,1233,17,1.05
46,2029,737,1292,17,1.05
47,2029,737,1292,17,1.05
48,1818,685,1133,17,1.05
49,1818,685,1133,17,1.05
