Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,4095,4095,0,17,1.05
3,2591,2638,0,17,1.05
4,2591,2638,0,17,1.05
5,2142,2180,0,17,1.05
6,2142,2180,0,17,1.05
7,2142,2180,0,17,1.05
8,1901,1915,0,17,1.05
9,1901,1915,0,17,1.05
10,4095,3226,869,17,1.05
11,4095,3226,869,17,1.05
12,4095,3172,923,17,1.05
13,3053,3172,0,17,1.05
14,3053,3172,0,17,1.05
15,2332,2344,0,17,1.05
16,2332,2344,0,17,1.05
17,4095,2018,2077,17,1.05
18,4095,2018,2077,17,1.05
19,4095,2018,2077,17,1.05
20,4095,1811,2284,17,1.05
21,4095,1811,2284,17,1.05
22,3849,1648,2201,17,1.05
23,3849,1648,2201,17,1.05
24,3849,1507,2342,17,1.05
25,3710,1507,2203,17,1.05
26,3710,1507,2203,17,1.05
27,3229,1382,1847,17,1.05
28,3229,1382,1847,17,1.05
29,3407,1273,2134,17,1.05
30,3407,1273,2134,17,1.05
31,3407,1180,2227,17,1.05
32,4095,1180,2915,17,1.05
33,4095,1180,2915,17,1.05
34,3465,1087,2378,17,1.05
35,3465,1087,2378,17,1.05
36,4095,1007,3088,17,1.05
37,4095,1007,3088,17,1.05
38,4095,1007,3088,17,1.05
39,2512,927,1585,17,1.05
40,2512,927,1585,17,1.05
41,3728,860,2868,17,1.05
42,3728,860,2868,17,1.05
43,3728,796,2932,17,1.05
44,2444,796,1648,17,1.05
45,2444,796,1648,17,1.05
46,2698,737,1961,17,1.05
47,2698,737,1961,17,1.05
48,2692,685,2007,17,1.05
49,2692,685,2007,17,1.05
